framing,degradation,mode,config,n,failures,mean_mbps,min_mbps,max_mbps,stddev_mbps,udp_tx_datagrams,udp_tx_ios,udp_rx_datagrams,udp_rx_ios,lost_packets,lost_bytes,cwnd,rtt_us,tx_batch,rx_batch,loss_pct
ws,localhost,download,tuned,2,0,1167.70,993.58,1341.83,246.25,73994,73994,1001375,1001376,5280,20352,2904,3146,1.00,1.00,0.49
ws,localhost,upload,tuned,2,0,847.93,839.70,856.16,11.64,727920,727920,38196,38197,765,982788,628436,3774,1.00,1.00,0.10
ws,localhost,bidi,tuned,2,0,296.95,152.57,441.33,204.18,244461,244461,131360,131362,1128,1556290,530550,1671,1.00,1.00,0.30
ws,lan,download,tuned,2,0,1917.45,1863.85,1971.05,75.80,41175,41175,1358346,1358348,4315,27272,2904,3238,1.00,1.00,0.31
ws,lan,upload,tuned,2,0,1944.79,1675.04,2214.54,381.48,1377470,142547,34348,34348,0,0,492700884,2338,9.66,1.00,0.00
ws,lan,bidi,tuned,2,0,1116.74,1100.15,1133.33,23.46,403628,42666,419958,419960,1270,1842588,2049178,671,9.46,1.00,0.15
ws,wifi,download,tuned,2,0,159.53,149.61,169.44,14.02,5292,5283,113723,113724,36,22,10200,41465,1.00,1.00,0.03
ws,wifi,upload,tuned,2,0,155.03,140.27,169.79,20.87,110496,11842,5058,5058,0,0,8996980,42670,9.33,1.00,0.00
ws,wifi,bidi,tuned,2,0,126.04,85.80,166.29,56.92,92844,11970,39607,39608,6,0,7093964,59192,7.76,1.00,0.00
ws,4g,download,tuned,2,0,3.96,3.91,4.02,0.08,582,573,3640,3640,0,0,12052,1434560,1.02,1.00,0.00
ws,4g,upload,tuned,2,0,4.00,3.95,4.04,0.06,3702,666,515,516,0,0,2292486,2149844,5.56,1.00,0.00
ws,4g,bidi,tuned,2,0,4.44,4.42,4.45,0.02,3566,962,3961,3962,4,5082,1787044,1001064,3.71,1.00,0.05
ws,3g,download,tuned,2,0,0.59,0.44,0.75,0.22,461,456,1260,1262,0,0,12000,4797595,1.01,1.00,0.00
ws,3g,upload,tuned,2,0,0.51,0.45,0.57,0.08,1196,1194,391,392,54,78408,607672,3922434,1.00,1.00,3.40
ws,3g,bidi,tuned,2,0,0.46,0.44,0.48,0.03,1289,1289,1088,1089,14,16,695263,7274494,1.00,1.00,0.59
wt-uni,localhost,download,tuned,2,0,1125.58,966.91,1284.25,224.39,117010,117010,794717,794718,51,335,2904,3028,1.00,1.00,0.01
wt-uni,localhost,upload,tuned,2,0,865.79,862.96,868.61,4.00,611482,611482,94580,94581,762,1105422,617524,1926,1.00,1.00,0.11
wt-uni,localhost,bidi,tuned,2,0,976.21,882.62,1069.80,132.36,224941,224941,689314,689314,784,1137608,152224,1425,1.00,1.00,0.09
wt-uni,lan,download,tuned,2,0,1774.44,1717.84,1831.05,80.05,17682,17682,1256038,1256039,7760,59398,2904,2494,1.00,1.00,0.61
wt-uni,lan,upload,tuned,2,0,1588.93,1566.58,1611.28,31.61,1125132,116254,7260,7260,0,0,98833757,4758,9.68,1.00,0.00
wt-uni,lan,bidi,tuned,2,0,232.03,121.72,342.34,156.00,124160,13031,48454,48454,312,434271,1032026,2459,9.53,1.00,0.18
wt-uni,wifi,download,tuned,2,0,92.27,86.09,98.45,8.74,1160,1156,65924,65924,376,3493,2904,75500,1.00,1.00,0.56
wt-uni,wifi,upload,tuned,2,0,71.95,46.88,97.03,35.46,52070,5612,512,514,0,0,6223338,149381,9.28,1.00,0.00
wt-uni,wifi,bidi,tuned,2,0,73.37,66.86,79.88,9.21,52635,5946,3886,3887,11,14520,2751864,35415,8.85,1.00,0.02
wt-uni,4g,download,tuned,2,0,27.63,27.02,28.24,0.86,605,600,20462,20464,77,336,2904,259311,1.01,1.00,0.37
