framing,degradation,mode,n,failures,mean_mbps,min_mbps,max_mbps,stddev_mbps,udp_tx_datagrams,udp_tx_ios,udp_rx_datagrams,udp_rx_ios,lost_packets,lost_bytes,cwnd,rtt_us,tx_batch,rx_batch,loss_pct
ws,localhost,download,3,0,1246.59,1074.92,1382.54,156.89,110567,110567,1337671,1337672,6210,20112,2904,3105,1.00,1.00,0.43
ws,lan,download,3,0,3115.54,2887.46,3406.89,265.43,72389,72389,2760301,2760302,10975,70812,2904,2294,1.00,1.00,0.39
ws,wifi,download,3,0,137.09,102.66,189.67,46.26,6266,6266,122740,122741,34,0,12000,93270,1.00,1.00,0.03
ws,4g,download,3,0,4.76,3.98,6.06,1.14,687,687,5275,5276,0,0,12000,1698055,1.00,1.00,0.00
ws,3g,download,3,0,0.42,0.31,0.52,0.11,497,485,1208,1209,12,0,12000,3800312,1.02,1.00,0.70
wt-uni,localhost,download,3,0,978.91,782.12,1178.08,197.99,104624,104624,987625,987626,2856,4271,2904,3176,1.00,1.00,0.26
wt-uni,lan,download,3,0,1721.24,1354.65,2216.46,445.07,27818,27818,1522714,1522715,8491,52795,2904,2317,1.00,1.00,0.55
wt-uni,wifi,download,3,0,103.07,93.63,108.77,8.23,1679,1675,91480,91481,458,2605,2904,63611,1.00,1.00,0.49
wt-uni,4g,download,3,0,24.79,23.24,25.66,1.35,574,568,22595,22596,94,320,4356,276931,1.01,1.00,0.41
wt-uni,3g,download,3,0,0.75,0.59,0.84,0.14,176,151,1443,1444,2,31,10002,3081018,1.17,1.00,0.12
wt-singlestream,localhost,download,3,0,1302.94,1284.33,1336.21,28.88,74141,74141,1230891,1230892,1806,619,3602,1646,1.00,1.00,0.14
wt-singlestream,lan,download,3,0,1301.44,862.50,1789.96,465.71,40452,40452,1153066,1153067,1161,1558,2904,4559,1.00,1.00,0.10
wt-singlestream,wifi,download,3,0,156.13,145.10,172.73,14.63,4384,4381,138825,138826,491,1426,2904,41595,1.00,1.00,0.34
wt-singlestream,4g,download,3,0,23.72,21.70,25.43,1.88,566,560,21916,21917,111,126,4300,287090,1.01,1.00,0.49
wt-singlestream,3g,download,3,0,0.90,0.69,1.07,0.19,427,424,1678,1679,6,11,10835,3433675,1.01,1.00,0.29
wt-datagram,localhost,download,3,0,1728.69,1123.27,2144.74,536.42,95802,95802,1683072,1683073,5555,10749,2714,2079,1.00,1.00,0.31
wt-datagram,lan,download,3,0,2091.76,2048.64,2124.99,39.13,71420,71417,2080604,2080605,3826,5574,2586,1977,1.00,1.00,0.18
wt-datagram,wifi,download,3,0,18.79,16.13,23.79,4.34,4841,4827,27607,27608,307,193,12000,21317,1.00,1.00,0.95
wt-datagram,4g,download,3,0,1.76,1.10,2.16,0.58,1851,1842,4968,4969,98,0,12000,98407,1.00,1.00,1.44
wt-datagram,3g,download,0,3,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0
