framing,degradation,mode,n,failures,mean_mbps,min_mbps,max_mbps,stddev_mbps,udp_tx_datagrams,udp_tx_ios,udp_rx_datagrams,udp_rx_ios,lost_packets,lost_bytes,cwnd,rtt_us,tx_batch,rx_batch,loss_pct
ws,lan,download,5,0,2932.45,2781.04,3158.83,142.11,28726,28726,1038208,1038209,3894,24041,2904,2486,1.00,1.00,0.36
ws,wifi,download,5,0,147.38,88.95,215.88,50.34,2599,2599,53128,53129,27,0,12000,69782,1.00,1.00,0.05
ws,4g,download,5,0,4.79,3.72,6.34,1.40,372,367,2466,2467,0,0,12000,1078809,1.01,1.00,0.00
ws,3g,download,5,0,0.56,0.44,0.71,0.10,374,365,986,987,0,0,12000,3356965,1.02,1.00,0.00
wt-uni,lan,download,5,0,1945.60,1564.89,2546.01,444.09,9928,9928,688380,688381,4276,32875,2904,2544,1.00,1.00,0.61
wt-uni,wifi,download,5,0,112.79,102.18,117.65,6.08,863,863,40659,40660,169,939,3514,55314,1.00,1.00,0.41
wt-uni,4g,download,5,0,24.97,23.67,26.26,0.94,316,316,9571,9572,30,165,5136,312425,1.00,1.00,0.30
wt-uni,3g,download,5,0,0.83,0.71,1.00,0.11,168,149,1015,1015,1,10,11280,2243323,1.13,1.00,0.08
wt-singlestream,lan,download,5,0,2443.93,1949.29,2624.57,283.53,25096,25096,865587,865588,963,1458,2904,2560,1.00,1.00,0.11
wt-singlestream,wifi,download,5,0,103.99,92.09,114.01,8.05,758,758,37272,37273,195,757,3194,66538,1.00,1.00,0.51
wt-singlestream,4g,download,5,0,23.52,22.10,24.35,1.03,283,276,8963,8964,37,84,5954,287074,1.03,1.00,0.40
wt-singlestream,3g,download,5,0,0.86,0.68,0.97,0.11,277,263,1051,1052,1,0,12018,1866991,1.05,1.00,0.08
wt-datagram,lan,download,4,1,1650.15,1451.58,1858.05,228.97,25533,25530,655905,655906,1210,3018,2586,2313,1.00,1.00,0.18
wt-datagram,wifi,download,5,0,24.60,14.80,28.24,5.56,2741,2737,17096,17097,298,408,11280,19798,1.00,1.00,1.50
wt-datagram,4g,download,5,0,2.59,1.18,5.04,1.60,1136,1130,3436,3437,88,280,12000,97807,1.01,1.00,1.92
wt-datagram,3g,download,0,5,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0
