framing,degradation,mode,n,failures,mean_mbps,min_mbps,max_mbps,stddev_mbps,udp_tx_datagrams,udp_tx_ios,udp_rx_datagrams,udp_rx_ios,lost_packets,lost_bytes,cwnd,rtt_us,tx_batch,rx_batch,loss_pct
ws,localhost,download,3,0,1370.05,1267.62,1430.02,89.14,132152,132152,1470072,1470073,6385,24923,2904,2641,1.00,1.00,0.40
ws,lan,download,3,0,3065.80,2971.68,3131.50,83.62,74018,74018,2716231,2716232,10340,70531,2904,2020,1.00,1.00,0.37
ws,wifi,download,3,0,173.87,142.49,213.43,36.17,6700,6700,155255,155256,96,28,9600,65843,1.00,1.00,0.06
ws,4g,download,3,0,4.91,3.88,6.27,1.23,692,689,5245,5246,0,0,12000,1703582,1.00,1.00,0.00
ws,3g,download,3,0,0.49,0.45,0.51,0.03,476,460,1244,1245,20,11,10800,3368601,1.03,1.00,1.16
wt-uni,localhost,download,3,0,1235.99,1091.74,1476.76,209.87,153888,153888,1090709,1090710,106,683,2904,2376,1.00,1.00,0.01
wt-uni,lan,download,3,0,1816.66,1787.24,1870.04,46.31,22880,22880,1608192,1608193,9680,78836,2904,3196,1.00,1.00,0.59
wt-uni,wifi,download,3,0,30.79,28.12,32.48,2.34,439,421,27849,27850,148,565,2952,150141,1.04,1.00,0.52
wt-uni,4g,download,3,0,2.88,2.64,3.24,0.32,113,95,2777,2778,12,30,9600,1138296,1.19,1.00,0.42
wt-uni,3g,download,0,3,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0
wt-singlestream,localhost,download,3,0,1393.03,1259.54,1609.07,188.82,77422,77422,1229179,1229180,1746,231,2904,850,1.00,1.00,0.13
wt-singlestream,lan,download,3,0,2661.26,2473.86,2801.59,168.86,61538,61538,2359581,2359582,4924,4499,2904,2117,1.00,1.00,0.20
wt-singlestream,wifi,download,3,0,38.66,36.16,40.68,2.30,3262,3262,35362,35363,0,0,12000,188529,1.00,1.00,0.00
wt-singlestream,4g,download,3,0,3.76,3.49,3.93,0.24,716,701,3977,3978,0,0,12000,1340068,1.02,1.00,0.00
wt-singlestream,3g,download,3,0,0.32,0.30,0.33,0.02,666,659,1118,1119,0,0,12000,7476629,1.01,1.00,0.00
wt-datagram,localhost,download,3,0,1776.27,1737.85,1844.02,58.85,73411,73411,1703507,1703508,4459,9604,2714,1825,1.00,1.00,0.25
wt-datagram,lan,download,3,0,1620.30,1549.49,1728.51,95.19,73100,73097,1621668,1621669,1584,1431,2586,908,1.00,1.00,0.09
wt-datagram,wifi,download,3,0,17.46,14.91,20.51,2.83,4535,4513,25321,25322,290,139,9600,19859,1.00,1.00,0.97
wt-datagram,4g,download,3,0,1.17,0.83,1.59,0.39,1623,1618,2735,2736,62,21,10800,109855,1.00,1.00,1.42
wt-datagram,3g,download,0,3,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0
