framing,degradation,mode,n,failures,mean_mbps,min_mbps,max_mbps,stddev_mbps,udp_tx_datagrams,udp_tx_ios,udp_rx_datagrams,udp_rx_ios,lost_packets,lost_bytes,cwnd,rtt_us,tx_batch,rx_batch,loss_pct
ws,localhost,download,3,0,889.65,756.86,1145.10,221.28,74138,74138,954651,954652,4318,9260,2904,6525,1.00,1.00,0.42
ws,lan,download,3,0,2779.53,2300.61,3102.18,423.02,68104,68104,2462338,2462339,9239,63251,2904,2717,1.00,1.00,0.37
ws,wifi,download,3,0,179.30,141.39,224.12,41.80,6925,6925,159771,159772,61,0,12000,57273,1.00,1.00,0.04
ws,4g,download,3,0,4.04,3.68,4.68,0.55,705,696,4371,4372,0,0,12000,1346319,1.01,1.00,0.00
ws,3g,download,3,0,0.47,0.45,0.50,0.03,511,499,1338,1339,13,0,12000,5015167,1.02,1.00,0.70
wt-uni,localhost,download,3,0,1004.31,915.15,1181.06,153.07,127747,127747,886371,886372,89,580,2904,3415,1.00,1.00,0.01
wt-uni,lan,download,3,0,1580.33,1454.04,1691.74,119.55,19779,19779,1398393,1398394,8667,68262,2904,2173,1.00,1.00,0.61
wt-uni,wifi,download,3,0,125.24,120.64,128.52,4.10,2139,2138,111435,111436,524,2448,2904,48798,1.00,1.00,0.46
wt-uni,4g,download,3,0,25.15,23.61,26.02,1.34,644,644,23015,23016,80,411,3291,282568,1.00,1.00,0.34
wt-uni,3g,download,3,0,0.86,0.75,1.03,0.15,161,139,1442,1443,2,14,10800,2249498,1.16,1.00,0.12
wt-singlestream,localhost,download,3,0,1140.82,988.26,1365.34,198.57,71074,71074,1006613,1006614,1084,212,3602,1305,1.00,1.00,0.10
wt-singlestream,lan,download,3,0,1993.09,1901.73,2065.66,83.56,58275,58275,1766866,1766867,1567,1285,2904,3105,1.00,1.00,0.09
wt-singlestream,wifi,download,3,0,133.71,99.09,169.36,35.15,3227,3224,119716,119717,514,1504,3388,83985,1.00,1.00,0.42
wt-singlestream,4g,download,3,0,22.50,21.14,23.94,1.40,556,547,20919,20920,105,166,2927,322560,1.02,1.00,0.49
wt-singlestream,3g,download,3,0,1.08,0.96,1.28,0.18,307,295,1575,1576,2,0,12000,2553364,1.04,1.00,0.11
wt-datagram,localhost,download,3,0,1891.84,1790.65,2069.85,154.64,75701,75701,1826877,1826878,5258,9603,2714,1464,1.00,1.00,0.28
wt-datagram,lan,download,3,0,1902.78,1840.01,1948.65,56.26,70928,70928,1892040,1892041,2814,3193,2586,1971,1.00,1.00,0.14
wt-datagram,wifi,download,3,0,17.43,15.41,19.50,2.05,4324,4295,24845,24846,290,520,10800,20257,1.01,1.00,0.99
wt-datagram,4g,download,3,0,2.04,1.64,2.64,0.53,1735,1735,5089,5090,121,844,10800,102939,1.00,1.00,1.77
wt-datagram,3g,download,0,3,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0
